GET	/	404	28ms
GET	//api/v1/on-covid-19	404	02ms
GET	/api/v1/on-covid-19	404	18ms
GET	/api/v1/on-covid-19	404	02ms
GET	/api/v1/on-covid-19/json	404	02ms
GET	/api/v1/on-covid-19/json	404	03ms
GET	/api/v1/on-covid-19/json	404	08ms
GET	/api/v1/on-covid-19/xml	404	01ms
GET	/api/v1/on-covid-19/xml	404	02ms
GET	/api/v1/on-covid-19/xml	404	02ms
GET	/api/v1/on-covid-19/xml	404	03ms
GET	/api/v1/on-covid-19/xml	404	01ms
GET	/api/v1/on-covid-19/logs	200	151ms
GET	/favicon.ico	404	01ms
GET	/	404	10ms
GET	/favicon.ico	404	01ms
GET	/	404	01ms
GET	/api/v1/on-covid-19/logs	200	97ms
GET	/api/v1/on-covid-19/logs	200	24ms
